순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
201,글로리아 벨,2019-06-06,83310020 ,0,10931,48,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
202,시크릿 슈퍼스타,2019-10-24,86453100 ,0,10758,112,인도,인도,(주)넥스트엔터테인먼트월드(NEW)
203,캔 유 킵 어 시크릿?,2019-11-07,89857500 ,0,10754,176,미국,미국,(주)팝엔터테인먼트
204,해피타임 스파이,2019-05-23,24214360 ,0,10751,60,미국,미국,(주)제이앤씨미디어그룹
205,수상한 교수,2019-08-15,91025830 ,0,10684,105,미국,미국,(주)제이앤씨미디어그룹
206,쓰리 세컨즈,2019-06-20,83005450 ,0,10659,183,러시아,러시아,(주)삼백상회
207,비뚤어진 집,2019-09-19,88027560 ,0,10639,135,영국,영국,(주)팝엔터테인먼트
208,루스 베이더 긴즈버그 : 나는 반대한다,2019-03-28,84030880 ,0,10635,39,미국,미국,(주)영화사 진진
209,폴라로이드,2019-06-06,91171660 ,0,10510,141,미국,미국,(주)이수C&E
210,데드 돈 다이,2019-07-31,82788100 ,0,10506,29,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
211,킹 오브 프리즘 -샤이니 세븐 스타즈- Ⅲ 레오×유우×알렉,2019-05-02,88911870 ,0,10423,34,일본,일본,동우에이앤이(주)
212,어쩌다 룸메이트,2019-11-13,81004500 ,0,10293,135,중국,중국,(주)키다리이엔티
213,신문기자,2019-10-17,81471660 ,0,10050,128,일본,일본,"(주)팝엔터테인먼트,주식회사 더쿱"
214,우먼 인 할리우드,2019-10-31,78512040 ,0,9844,40,미국,미국,(주)마노엔터테인먼트
215,아이언 자이언트,2019-10-09,81171700 ,0,9802,167,미국,미국,(주)삼백상회
216,레티나,2019-04-24,51746950 ,0,9785,5,미국,미국,제인앤유
217,디에고,2019-12-12,43118500 ,0,9784,26,영국,영국,워터홀컴퍼니(주)
218,라플라스의 마녀,2019-05-09,86152580 ,0,9666,116,일본,일본,(주)영화사 빅
219,꼬마 자전거 스피디,2019-10-17,70048620 ,0,9507,318,스페인,스페인,(주)박수엔터테인먼트
220,아틱,2019-03-27,74541010 ,0,9503,97,아이슬란드,아이슬란드,"(주)영화특별시에스엠씨,(주)삼백상회"
221,배틀 스쿨,2019-02-26,42769200 ,0,9499,7,일본,일본,제인앤유
222,발명왕 볼트,2019-09-19,70341840 ,0,9382,239,중국,중국,(주)박수엔터테인먼트
223,쿵푸 보이,2019-10-09,71889120 ,0,9263,222,인도,인도,(주)팝엔터테인먼트
224,리지,2019-01-10,80329800 ,0,9203,53,미국,미국,(주)팝엔터테인먼트
225,러브리스,2019-04-18,74310966 ,0,9192,47,러시아,"러시아,프랑스,독일",그린나래미디어(주)
226,극장판 오소마츠 6쌍둥이,2019-06-13,74156870 ,0,8898,65,일본,일본,(주)리틀빅픽쳐스
227,킹 오브 프리즘 –샤이니 세븐 스타즈- II 카케루x조지x미나토,2019-04-04,75580490 ,0,8896,33,일본,일본,동우에이앤이(주)
228,엘리펀트킹 덤보,2019-06-13,64369060 ,0,8755,226,기타,기타,(주)박수엔터테인먼트
229,와일드라이프,2019-12-25,68640760 ,0,8676,49,미국,미국,"그린나래미디어(주),(주)키다리이엔티"
230,그때 그들,2019-03-07,69531830 ,0,8646,42,이탈리아,이탈리아,(주)영화사 진진
231,똑딱똑딱 마법의 시계나라,2019-04-17,62209720 ,0,8548,240,멕시코,멕시코,와이드 릴리즈(주)
232,도쿄의 밤하늘은 항상 가장 짙은 블루,2019-02-14,73284187 ,0,8520,35,일본,일본,(주)디오시네마
233,동키 킹,2019-08-28,62925760 ,0,8322,185,기타,기타,(주)팝엔터테인먼트
234,이차크의 행복한 바이올린,2018-12-20,62138300 ,0,8295,26,미국,미국,(주)영화사 진진
235,논-픽션,2019-05-16,65382850 ,0,8109,44,프랑스,프랑스,(주)트리플픽쳐스
236,스타 이즈 본,2018-10-09,66825660 ,0,8005,555,미국,미국,워너브러더스 코리아(주)
237,언씬: 할로우맨,2019-04-23,41766100 ,0,7993,4,캐나다,캐나다,제인앤유
238,패트와 매트: 우당탕탕 크리스마스,2019-11-07,59675500 ,0,7657,176,체코,체코,(주)팝엔터테인먼트
